No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,AAPL,Apple Inc.,"2,817.13B",180.19,0.88%,383.93B
2,MSFT,Microsoft Corporation,"2,405.01B",323.70,0.22%,211.92B
3,GOOGL,Alphabet Inc.,"1,656.65B",131.01,0.87%,289.53B
4,AMZN,"Amazon.com, Inc.","1,366.07B",133.14,-0.05%,538.05B
5,NVDA,NVIDIA Corporation,"1,156.82B",468.35,1.78%,32.68B
6,BRK.B,Berkshire Hathaway Inc.,775.43B,355.55,-0.11%,400.81B
7,TSLA,"Tesla, Inc.",758.01B,238.82,0.10%,94.03B
8,META,"Meta Platforms, Inc.",746.89B,290.26,1.67%,120.52B
9,LLY,Eli Lilly and Company,525.83B,553.92,0.05%,29.52B
10,V,Visa Inc.,507.12B,243.83,0.52%,31.83B
11,TSM,Taiwan Semiconductor Manufacturing Company Limited,487.52B,94.00,0.97%,71.60B
12,UNH,UnitedHealth Group Incorporated,457.40B,491.28,0.44%,348.52B
13,XOM,Exxon Mobil Corporation,436.97B,109.16,0.84%,376.98B
14,JPM,JPMorgan Chase & Co.,428.82B,147.56,0.35%,146.92B
15,WMT,Walmart Inc.,427.41B,158.72,0.57%,630.79B
16,JNJ,Johnson & Johnson,426.98B,164.29,-1.18%,97.77B
17,NVO,Novo Nordisk A/S,419.74B,187.49,0.57%,29.39B
18,MA,Mastercard Incorporated,380.89B,407.44,1.13%,23.59B
19,PG,The Procter & Gamble Company,362.51B,153.78,0.16%,82.01B
20,AVGO,Broadcom Inc.,355.35B,861.08,1.09%,35.04B
21,HD,"The Home Depot, Inc.",325.93B,325.91,0.94%,154.88B
22,ORCL,Oracle Corporation,317.13B,116.84,0.67%,49.95B
23,CVX,Chevron Corporation,305.62B,160.21,0.69%,222.81B
24,MRK,"Merck & Co., Inc.",276.41B,108.93,-1.16%,58.31B
25,KO,The Coca-Cola Company,261.88B,60.56,0.28%,44.14B
26,ABBV,AbbVie Inc.,260.22B,147.43,0.50%,56.02B
27,ASML,ASML Holding N.V.,259.25B,658.99,1.23%,28.41B
28,PEP,"PepsiCo, Inc.",248.13B,180.25,0.46%,90.14B
29,ADBE,Adobe Inc.,241.54B,529.92,0.93%,18.43B
30,COST,Costco Wholesale Corporation,237.61B,536.19,0.41%,235.44B
31,BABA,Alibaba Group Holding Limited,234.91B,92.24,2.69%,123.93B
32,CSCO,"Cisco Systems, Inc.",229.02B,56.20,0.90%,57.00B
33,BAC,Bank of America Corporation,228.54B,28.76,0.91%,100.49B
34,TM,Toyota Motor Corporation,226.32B,167.25,1.70%,277.10B
35,AZN,AstraZeneca PLC,212.77B,68.64,0.57%,44.49B
36,NVS,Novartis AG,211.67B,102.34,0.55%,53.07B
37,TMO,Thermo Fisher Scientific Inc.,210.42B,545.19,0.66%,43.52B
38,FMX,"Fomento EconÃ³mico Mexicano, SAB de CV",209.74B,117.23,0.49%,34.56B
39,MCD,McDonald`s Corp,207.11B,283.68,-0.32%,24.19B
40,CRM,"Salesforce, Inc.",206.22B,211.72,1.07%,32.19B
41,SHEL,Shell plc,204.88B,61.42,0.64%,386.20B
42,PFE,Pfizer Inc.,204.44B,36.21,-0.47%,77.94B
43,ACN,Accenture plc,202.43B,320.91,0.67%,63.55B
44,DHR,Danaher Corporation,193.08B,261.50,2.34%,30.36B
45,VFS,VinFast Auto Ltd.,191.23B,82.35,19.75%,633.73M
46,CMCSA,Comcast Corporation,189.24B,45.98,1.12%,120.61B
47,LIN,Linde plc,186.43B,382.07,0.13%,33.09B
48,NFLX,"Netflix, Inc.",185.26B,418.06,0.49%,32.13B
49,ABT,Abbott Laboratories,178.38B,102.79,-1.36%,40.23B
50,AMD,"Advanced Micro Devices, Inc.",165.24B,102.61,0.35%,21.88B
51,SAP,SAP SE,161.82B,138.34,0.64%,33.81B
52,HDB,HDFC Bank Limited,160.11B,63.48,1.20%,13.76B
53,TMUS,"T-Mobile US, Inc.",159.03B,135.18,1.37%,78.58B
54,DIS,The Walt Disney Company,153.99B,84.16,0.96%,87.81B
55,WFC,Wells Fargo & Company,153.23B,41.88,1.58%,80.43B
56,TXN,Texas Instruments Incorporated,153.17B,168.70,0.53%,18.82B
57,NKE,"NIKE, Inc.",152.43B,99.63,0.80%,51.22B
58,TTE,TotalEnergies SE,151.07B,62.59,0.53%,238.68B
59,HSBC,HSBC Holdings plc,149.25B,37.96,1.20%,61.60B
60,PM,Philip Morris International Inc.,148.84B,95.88,0.85%,69.20B
61,INTU,Intuit Inc.,145.31B,518.87,-0.03%,14.37B
62,UPS,"United Parcel Service, Inc.",144.27B,168.84,-0.02%,96.17B
63,BHP,BHP Group Limited,141.98B,56.07,1.56%,60.28B
64,CAT,Caterpillar Inc.,141.89B,274.79,0.82%,64.77B
65,VZ,Verizon Communications Inc.,141.05B,33.55,0.60%,135.00B
66,INTC,Intel Corporation,140.80B,33.62,1.11%,54.04B
67,COP,ConocoPhillips,140.73B,117.52,0.86%,69.28B
68,MS,Morgan Stanley,139.99B,84.38,1.39%,53.71B
69,NEE,"NextEra Energy, Inc.",137.65B,68.02,0.09%,26.95B
70,AMGN,Amgen Inc.,137.23B,256.55,0.07%,26.58B
71,BA,Boeing Co.,136.96B,227.06,1.63%,73.61B
72,UNP,Union Pacific Corporation,136.85B,224.54,0.16%,24.77B
73,SNY,Sanofi,134.79B,53.76,0.64%,50.70B
74,IBM,International Business Machines Corporation,133.03B,146.02,0.46%,60.52B
75,LOW,"Lowe's Companies, Inc.",129.62B,222.72,-0.16%,93.23B
76,BMY,Bristol-Myers Squibb Company,128.77B,61.64,-0.71%,45.19B
77,UL,Unilever PLC,128.60B,51.10,0.37%,66.90B
78,RY,Royal Bank of Canada,125.13B,89.68,0.79%,42.17B
79,RTX,RTX Corporation,124.80B,85.74,1.24%,70.57B
80,HON,Honeywell International Inc.,124.74B,187.88,0.85%,36.15B
81,QCOM,QUALCOMM Incorporated,124.41B,111.68,1.23%,38.58B
82,SPGI,S&P Global Inc.,124.23B,390.43,0.56%,12.06B
83,GE,General Electric Company,124.03B,113.96,1.78%,72.05B
84,BX,Blackstone Inc.,122.74B,100.88,1.22%,6.96B
85,AMAT,"Applied Materials, Inc.",121.65B,145.42,0.73%,26.54B
86,AXP,American Express Company,117.24B,159.19,0.55%,53.01B
87,NOW,"ServiceNow, Inc.",115.94B,568.31,0.83%,8.02B
88,DE,Deere & Company,115.72B,394.69,1.15%,61.11B
89,PLD,"Prologis, Inc.",114.56B,124.00,1.09%,7.72B
90,LMT,Lockheed Martin Corporation,113.91B,452.32,0.27%,67.39B
91,BUD,Anheuser-Busch InBev SA/NV,113.57B,57.25,1.04%,59.09B
92,BKNG,Booking Holdings Inc.,113.37B,"3,069.61",0.89%,19.34B
93,SBUX,Starbucks Corporation,111.15B,97.04,1.63%,35.02B
94,TD,The Toronto-Dominion Bank,110.20B,60.30,2.06%,40.10B
95,MDT,Medtronic plc,108.34B,81.39,-0.97%,31.56B
96,GS,"The Goldman Sachs Group, Inc.",107.46B,325.97,1.82%,45.69B
97,PDD,PDD Holdings Inc.,107.30B,80.76,1.06%,21.02B
98,ELV,Elevance Health Inc.,107.08B,454.41,0.42%,165.71B
99,ISRG,"Intuitive Surgical, Inc.",105.93B,301.48,1.32%,6.66B
100,SYK,Stryker Corporation,105.70B,278.31,0.07%,19.46B
101,BP,BP p.l.c.,105.24B,36.64,1.36%,234.60B
102,ADP,"Automatic Data Processing, Inc.",104.83B,254.39,0.53%,18.01B
103,SCHW,The Charles Schwab Corporation,104.53B,59.05,1.55%,20.77B
104,TJX,"The TJX Companies, Inc.",103.75B,90.28,1.64%,51.23B
105,T,AT&T Inc.,101.59B,14.21,0.71%,121.44B
106,BLK,"BlackRock, Inc.",101.38B,679.00,0.45%,17.35B
107,SONY,Sony Group Corporation,101.33B,82.07,1.20%,86.16B
108,RIO,Rio Tinto Group,100.12B,61.72,1.66%,55.55B
109,MDLZ,"Mondelez International, Inc.",97.34B,71.55,0.07%,34.13B
110,MMC,"Marsh & McLennan Companies, Inc.",96.21B,194.77,0.29%,21.59B
111,GILD,"Gilead Sciences, Inc.",95.99B,77.04,0.23%,27.38B
112,MUFG,"Mitsubishi UFJ Financial Group, Inc.",94.86B,7.89,1.54%,30.79B
113,PBR,PetrÃ³leo Brasileiro S.A. - Petrobras,94.57B,14.50,1.33%,124.47B
114,DEO,Diageo plc,93.95B,167.24,0.25%,21.66B
115,PBR.A,PetrÃ³leo Brasileiro S.A. - Petrobras,92.34B,13.26,1.22%,124.47B
116,VRTX,Vertex Pharmaceuticals Incorporated,90.56B,351.60,0.44%,9.51B
117,ETN,Eaton Corporation plc,90.16B,226.24,0.89%,22.05B
118,EQNR,Equinor ASA,90.02B,30.30,0.93%,150.81B
119,ADI,"Analog Devices, Inc.",89.86B,180.33,1.22%,12.84B
120,REGN,"Regeneron Pharmaceuticals, Inc.",89.65B,830.89,0.07%,12.67B
121,UBER,"Uber Technologies, Inc.",89.35B,44.15,0.43%,35.00B
122,LRCX,Lam Research Corporation,88.30B,666.32,0.92%,17.43B
123,CVS,CVS Health Corporation,86.36B,67.24,-0.12%,339.20B
124,ZTS,Zoetis Inc.,86.07B,186.98,2.28%,8.22B
125,CI,Cigna Corporation,83.30B,281.55,0.83%,186.13B
126,AMT,American Tower Corporation,83.06B,178.17,0.36%,10.92B
